element,a1,b1,a2,b2,a3,b3,a4,b4,c
Co2+,11.23,4.12,7.39,0.27,4.74,10.24,0.71,25.65,0.93
Co3+,10.34,3.91,7.88,0.24,4.77,8.36,0.73,18.35,0.29
Ni,12.84,3.88,7.29,0.26,4.44,12.18,2.38,66.34,1.03
Ni2+,11.42,3.68,7.40,0.24,5.34,8.87,0.98,22.16,0.86
Ni3+,10.78,3.55,7.76,0.22,5.23,7.64,0.85,16.97,0.39
Cu,13.34,3.58,7.17,0.25,5.62,11.40,1.67,64.81,1.19
Cu1+,11.95,3.37,7.36,0.23,6.25,8.66,1.56,25.85,0.89
Cu2+,11.82,3.37,7.11,0.24,5.78,7.99,1.15,19.90,1.14
Zn,14.07,3.27,7.03,0.23,5.17,10.32,2.41,58.71,1.30
Zn2+,11.97,2.99,7.39,0.20,6.47,7.08,1.39,18.10,0.78
Ga,15.24,3.07,6.70,0.24,4.36,10.78,2.96,61.41,1.72
Ga3+,12.69,2.81,6.70,0.23,6.07,6.36,1.01,14.41,1.54
Ge,16.08,2.85,6.37,0.25,3.71,11.45,3.68,54.76,2.13
Ge4+,12.92,2.54,6.70,0.21,6.07,5.48,0.86,11.60,1.46
As,16.67,2.63,6.07,0.26,3.43,12.95,4.28,47.80,2.53
Se,17.00,2.41,5.82,0.27,3.97,15.24,4.35,43.82,2.84
